image_id,label
Test_585,rust
Test_586,healthy
Test_587,rust
Test_588,rust
Test_589,scab
Test_590,rust
Test_591,healthy
Test_592,rust
Test_593,healthy
Test_594,rust
Test_595,scab
Test_596,rust
Test_597,scab
Test_598,rust
Test_599,scab
Test_600,scab
Test_601,scab
Test_602,healthy
Test_603,rust
Test_604,scab
Test_605,rust
Test_606,scab
Test_607,scab
Test_608,scab
Test_609,rust
Test_610,scab
Test_611,scab
Test_612,rust
Test_613,scab
Test_614,healthy
Test_615,rust
Test_616,scab
Test_617,healthy
Test_618,healthy
Test_619,healthy
Test_620,rust
Test_621,healthy
Test_622,rust
Test_623,rust
Test_624,scab
Test_625,healthy
Test_626,rust
Test_627,healthy
Test_628,scab
Test_629,healthy
Test_630,healthy
Test_631,scab
Test_632,healthy
Test_633,healthy
Test_634,scab
Test_635,healthy
Test_636,scab
Test_637,rust
Test_638,healthy
Test_639,rust
Test_640,rust
Test_641,healthy
Test_642,scab
Test_643,rust
Test_644,scab
Test_645,rust
Test_646,scab
Test_647,rust
Test_648,healthy
Test_649,rust
Test_650,healthy
Test_651,scab
Test_652,scab
Test_653,scab
Test_654,rust
Test_655,scab
Test_656,healthy
Test_657,scab
Test_658,healthy
Test_659,rust
Test_660,scab
Test_661,healthy
Test_662,scab
Test_663,healthy
Test_664,rust
Test_665,healthy
Test_666,healthy
Test_667,healthy
Test_668,healthy
Test_669,scab
Test_670,scab
Test_671,rust
Test_672,healthy
Test_673,healthy
Test_674,healthy
Test_675,healthy
Test_676,healthy
Test_677,scab
Test_678,healthy
Test_679,rust
Test_680,rust
Test_681,healthy
Test_682,healthy
Test_683,healthy
Test_684,scab
Test_685,healthy
Test_686,scab
Test_687,healthy
Test_688,rust
Test_689,scab
Test_690,scab
Test_691,healthy
Test_692,rust
Test_693,healthy
Test_694,scab
Test_695,healthy
Test_696,rust
Test_697,rust
Test_698,rust
Test_699,scab
Test_700,healthy
Test_701,healthy
Test_702,scab
Test_703,rust
Test_704,rust
Test_705,healthy
Test_706,healthy
Test_707,scab
Test_708,healthy
Test_709,rust
Test_710,scab
Test_711,healthy
Test_712,scab
Test_713,scab
Test_714,scab
Test_715,healthy
Test_716,scab
Test_717,scab
Test_718,healthy
Test_719,healthy
Test_720,rust
Test_721,scab
Test_722,rust
Test_723,scab
Test_724,rust
Test_725,healthy
Test_726,scab
Test_727,healthy
Test_728,healthy
Test_729,rust
Test_730,scab
Test_731,rust
Test_732,rust
Test_733,scab
Test_734,scab
Test_735,healthy
Test_736,rust
Test_737,healthy
Test_738,healthy
Test_739,rust
Test_740,rust
Test_741,rust
Test_742,healthy
Test_743,scab
Test_744,scab
Test_745,healthy
Test_746,rust
Test_747,rust
Test_748,rust
Test_749,healthy
Test_750,rust
Test_751,scab
Test_752,scab
Test_753,healthy
Test_754,healthy
Test_755,scab
Test_756,rust
Test_757,scab
Test_758,healthy
Test_759,rust
Test_760,rust
Test_761,rust
Test_762,healthy
Test_763,healthy
Test_764,healthy
Test_765,rust
Test_766,healthy
Test_767,healthy
Test_768,healthy
Test_769,healthy
Test_770,healthy
Test_771,rust
Test_772,healthy
Test_773,rust
Test_774,scab
Test_775,rust
Test_776,healthy
Test_777,scab
Test_778,scab
Test_779,scab
Test_780,healthy
Test_781,healthy
Test_782,scab
Test_783,rust
Test_784,rust
Test_785,healthy
Test_786,rust
Test_787,rust
Test_788,rust
Test_789,scab
Test_790,rust
Test_791,healthy
Test_792,scab
Test_793,rust
Test_794,healthy
Test_795,scab
Test_796,scab
Test_797,healthy
Test_798,rust
Test_799,rust
Test_800,scab
Test_801,rust
Test_802,healthy
Test_803,rust
Test_804,healthy
Test_805,scab
Test_806,scab
Test_807,scab
Test_808,rust
Test_809,scab
Test_810,rust
Test_811,healthy
Test_812,rust
Test_813,healthy
Test_814,scab
Test_815,scab
Test_816,scab
Test_817,scab
Test_818,healthy
Test_819,rust
Test_820,healthy
Test_821,scab
Test_822,scab
Test_823,scab
Test_824,rust
Test_825,healthy
Test_826,rust
Test_827,scab
Test_828,rust
Test_829,healthy
Test_830,rust
Test_831,rust
Test_832,healthy
Test_833,rust
Test_834,healthy
Test_835,rust
Test_836,scab
Test_837,healthy
Test_838,rust
Test_839,rust
Test_840,healthy
Test_841,healthy
Test_842,healthy
Test_843,rust
Test_844,healthy
Test_845,scab
Test_846,healthy
Test_847,rust
Test_848,rust
Test_849,scab
Test_850,healthy
Test_851,healthy
Test_852,scab
Test_853,scab
Test_854,scab
Test_855,scab
Test_856,rust
Test_857,rust
Test_858,scab
Test_859,healthy
Test_860,healthy
Test_861,rust
Test_862,rust
Test_863,scab
Test_864,scab
Test_865,rust
Test_866,scab
Test_867,healthy
Test_868,scab
Test_869,healthy
Test_870,healthy
Test_871,scab
Test_872,scab
Test_873,scab
Test_874,scab
Test_875,scab
Test_876,healthy
Test_877,healthy
Test_878,scab
Test_879,healthy
Test_880,rust
Test_881,rust
Test_882,healthy
Test_883,rust
Test_884,rust
Test_885,healthy
Test_886,healthy
Test_887,healthy
Test_888,rust
Test_889,healthy
Test_890,rust
Test_891,rust
Test_892,rust
Test_893,scab
Test_894,healthy
Test_895,healthy
Test_896,healthy
Test_897,healthy
Test_898,healthy
Test_899,rust
Test_900,scab
Test_901,scab
Test_902,healthy
Test_903,scab
Test_904,scab
Test_905,healthy
Test_906,rust
Test_907,healthy
Test_908,scab
Test_909,healthy
Test_910,scab
Test_911,scab
Test_912,rust
Test_913,healthy
Test_914,scab
Test_915,scab
Test_916,scab
Test_917,healthy
Test_918,rust
Test_919,scab
Test_920,rust
Test_921,scab
Test_922,healthy
Test_923,rust
Test_924,rust
Test_925,healthy
Test_926,rust
Test_927,healthy
Test_928,rust
Test_929,rust
Test_930,scab
Test_931,rust
Test_932,scab
Test_933,scab
Test_934,healthy
Test_935,healthy
Test_936,scab
Test_937,healthy
Test_938,scab
Test_939,rust
Test_940,scab
Test_941,scab
Test_942,scab
Test_943,rust
Test_944,scab
Test_945,scab
Test_946,scab
Test_947,scab
Test_948,scab
Test_949,rust
Test_950,scab
Test_951,rust
Test_952,rust
Test_953,scab
Test_954,healthy
Test_955,scab
Test_956,healthy
Test_957,rust
Test_958,healthy
Test_959,scab
Test_960,healthy
Test_961,healthy
Test_962,healthy
Test_963,healthy
Test_964,healthy
Test_965,scab
Test_966,scab
Test_967,rust
Test_968,rust
Test_969,rust
Test_970,scab
Test_971,scab
Test_972,healthy
Test_973,rust
Test_974,rust
Test_975,scab
Test_976,scab
Test_977,scab
Test_978,rust
Test_979,rust
Test_980,scab
Test_981,scab
Test_982,healthy
Test_983,rust
Test_984,rust
Test_985,healthy
Test_986,scab
Test_987,scab
Test_988,healthy
Test_989,healthy
Test_990,healthy
Test_991,scab
Test_992,rust
Test_993,healthy
Test_994,scab
Test_995,scab
Test_996,rust
Test_997,scab
Test_998,rust
Test_999,rust
Test_1000,healthy
Test_1001,rust
Test_1002,rust
Test_1003,rust
Test_1004,rust
Test_1005,rust
Test_1006,rust
Test_1007,scab
Test_1008,healthy
Test_1009,healthy
Test_1010,scab
Test_1011,rust
Test_1012,scab
Test_1013,scab
Test_1014,rust
Test_1015,scab
Test_1016,healthy
Test_1017,scab
Test_1018,scab
Test_1019,rust
Test_1020,rust
Test_1021,healthy
Test_1022,rust
Test_1023,healthy
Test_1024,scab
Test_1025,scab
Test_1026,scab
Test_1027,scab
Test_1028,rust
Test_1029,scab
Test_1030,scab
Test_1031,scab
Test_1032,rust
Test_1033,healthy
Test_1034,rust
Test_1035,rust
Test_1036,scab
Test_1037,rust
Test_1038,scab
Test_1039,scab
Test_1040,scab
Test_1041,rust
Test_1042,rust
Test_1043,rust
Test_1044,scab
Test_1045,rust
Test_1046,scab
Test_1047,healthy
Test_1048,healthy
Test_1049,healthy
Test_1050,rust
Test_1051,healthy
Test_1052,rust
Test_1053,scab
Test_1054,rust
Test_1055,scab
Test_1056,scab
Test_1057,scab
Test_1058,rust
Test_1059,scab
Test_1060,healthy
Test_1061,scab
Test_1062,healthy
Test_1063,scab
Test_1064,healthy
Test_1065,healthy
Test_1066,scab
Test_1067,healthy
Test_1068,scab
Test_1069,healthy
Test_1070,rust
Test_1071,scab
Test_1072,rust
Test_1073,healthy
Test_1074,healthy
Test_1075,rust
Test_1076,scab
Test_1077,rust
Test_1078,healthy
Test_1079,rust
Test_1080,scab
Test_1081,healthy
Test_1082,scab
Test_1083,rust
Test_1084,scab
Test_1085,healthy
Test_1086,rust
Test_1087,healthy
Test_1088,rust
Test_1089,scab
Test_1090,rust
Test_1091,rust
Test_1092,healthy
Test_1093,scab
Test_1094,healthy
Test_1095,scab
Test_1096,rust
Test_1097,healthy
Test_1098,scab
Test_1099,healthy
Test_1100,healthy
Test_1101,scab
Test_1102,rust
Test_1103,healthy
Test_1104,healthy
Test_1105,rust
Test_1106,rust
Test_1107,healthy
Test_1108,healthy
Test_1109,scab
Test_1110,healthy
Test_1111,rust
Test_1112,rust
Test_1113,rust
Test_1114,rust
Test_1115,rust
Test_1116,scab
Test_1117,rust
Test_1118,scab
Test_1119,scab
Test_1120,healthy
Test_1121,scab
Test_1122,scab
Test_1123,healthy
Test_1124,rust
Test_1125,healthy
Test_1126,healthy
Test_1127,scab
Test_1128,rust
Test_1129,rust
Test_1130,scab
Test_1131,rust
Test_1132,scab
Test_1133,healthy
Test_1134,scab
Test_1135,rust
Test_1136,scab
Test_1137,healthy
Test_1138,scab
Test_1139,scab
Test_1140,rust
Test_1141,scab
Test_1142,scab
Test_1143,rust
Test_1144,rust
Test_1145,scab
Test_1146,scab
Test_1147,scab
Test_1148,healthy
Test_1149,healthy
Test_1150,healthy
Test_1151,healthy
Test_1152,healthy
Test_1153,scab
Test_1154,healthy
Test_1155,scab
Test_1156,healthy
Test_1157,rust
Test_1158,healthy
Test_1159,healthy
Test_1160,healthy
Test_1161,healthy
Test_1162,scab
Test_1163,healthy
Test_1164,healthy
Test_1165,healthy
Test_1166,scab
Test_1167,scab
Test_1168,rust
Test_1169,rust
Test_1170,scab
Test_1171,scab
Test_1172,healthy
Test_1173,scab
Test_1174,scab
Test_1175,rust
Test_1176,healthy
Test_1177,healthy
Test_1178,healthy
Test_1179,rust
Test_1180,scab
Test_1181,rust
Test_1182,healthy
Test_1183,scab
Test_1184,scab
Test_1185,rust
Test_1186,healthy
Test_1187,scab
Test_1188,scab
Test_1189,scab
Test_1190,scab
Test_1191,scab
Test_1192,rust
Test_1193,healthy
Test_1194,rust
Test_1195,healthy
Test_1196,scab
Test_1197,scab
Test_1198,scab
Test_1199,healthy
Test_1200,rust
Test_1201,rust
Test_1202,scab
Test_1203,rust
Test_1204,healthy
Test_1205,scab
Test_1206,rust
Test_1207,scab
Test_1208,scab
Test_1209,rust
Test_1210,scab
Test_1211,scab
Test_1212,scab
Test_1213,scab
Test_1214,scab
Test_1215,rust
Test_1216,scab
Test_1217,healthy
Test_1218,rust
Test_1219,healthy
Test_1220,scab
Test_1221,scab
Test_1222,scab
Test_1223,scab
Test_1224,healthy
Test_1225,healthy
Test_1226,scab
Test_1227,healthy
Test_1228,healthy
Test_1229,rust
Test_1230,rust
Test_1231,rust
Test_1232,rust
Test_1233,healthy
Test_1234,scab
Test_1235,healthy
Test_1236,scab
Test_1237,scab
Test_1238,rust
Test_1239,healthy
Test_1240,healthy
Test_1241,scab
Test_1242,scab
Test_1243,healthy
Test_1244,scab
Test_1245,scab
Test_1246,scab
Test_1247,rust
Test_1248,healthy
Test_1249,scab
Test_1250,rust
Test_1251,scab
Test_1252,rust
Test_1253,scab
Test_1254,healthy
Test_1255,healthy
Test_1256,scab
Test_1257,scab
Test_1258,rust
Test_1259,rust
Test_1260,healthy
Test_1261,rust
Test_1262,scab
Test_1263,rust
Test_1264,healthy
Test_1265,scab
Test_1266,rust
Test_1267,scab
Test_1268,rust
Test_1269,scab
Test_1270,healthy
Test_1271,rust
Test_1272,healthy
Test_1273,rust
Test_1274,healthy
Test_1275,healthy
Test_1276,healthy
Test_1277,rust
Test_1278,healthy
Test_1279,scab
Test_1280,rust
Test_1281,scab
Test_1282,rust
Test_1283,scab
Test_1284,rust
Test_1285,healthy
Test_1286,rust
Test_1287,scab
Test_1288,healthy
Test_1289,healthy
Test_1290,scab
Test_1291,scab
Test_1292,healthy
Test_1293,scab
Test_1294,healthy
Test_1295,healthy
Test_1296,rust
Test_1297,scab
Test_1298,rust
Test_1299,rust
Test_1300,scab
Test_1301,scab
Test_1302,rust
Test_1303,rust
Test_1304,scab
Test_1305,rust
Test_1306,scab
Test_1307,rust
Test_1308,healthy
Test_1309,rust
Test_1310,healthy
Test_1311,rust
Test_1312,healthy
Test_1313,scab
Test_1314,rust
Test_1315,healthy
Test_1316,scab
Test_1317,scab
Test_1318,rust
Test_1319,rust
Test_1320,scab
Test_1321,scab
Test_1322,healthy
Test_1323,rust
Test_1324,healthy
Test_1325,scab
Test_1326,scab
Test_1327,rust
Test_1328,scab
Test_1329,healthy
Test_1330,scab
Test_1331,rust
Test_1332,healthy
Test_1333,healthy
Test_1334,scab
Test_1335,scab
Test_1336,scab
Test_1337,rust
Test_1338,rust
Test_1339,scab
Test_1340,scab
Test_1341,rust
Test_1342,scab
Test_1343,scab
Test_1344,rust
Test_1345,scab
Test_1346,scab
Test_1347,scab
Test_1348,scab
Test_1349,rust
Test_1350,healthy
Test_1351,rust
Test_1352,scab
Test_1353,scab
Test_1354,scab
Test_1355,rust
Test_1356,scab
Test_1357,rust
Test_1358,scab
Test_1359,healthy
Test_1360,rust
Test_1361,healthy
Test_1362,healthy
Test_1363,rust
Test_1364,scab
Test_1365,healthy
Test_1366,healthy
Test_1367,scab
Test_1368,rust
Test_1369,rust
Test_1370,rust
Test_1371,rust
Test_1372,rust
Test_1373,scab
Test_1374,rust
Test_1375,healthy
Test_1376,scab
Test_1377,scab
Test_1378,healthy
Test_1379,healthy
Test_1380,healthy
Test_1381,rust
Test_1382,rust
Test_1383,scab
Test_1384,scab
Test_1385,rust
Test_1386,scab
Test_1387,rust
Test_1388,rust
Test_1389,scab
Test_1390,rust
Test_1391,rust
Test_1392,rust
Test_1393,rust
Test_1394,healthy
Test_1395,healthy
Test_1396,rust
Test_1397,healthy
Test_1398,rust
Test_1399,scab
Test_1400,rust
Test_1401,scab
Test_1402,healthy
Test_1403,healthy
Test_1404,scab
Test_1405,scab
Test_1406,scab
Test_1407,scab
Test_1408,healthy
Test_1409,rust
Test_1410,rust
Test_1411,scab
Test_1412,rust
Test_1413,scab
Test_1414,rust
Test_1415,healthy
Test_1416,rust
Test_1417,scab
Test_1418,scab
Test_1419,rust
Test_1420,healthy
Test_1421,scab
Test_1422,rust
Test_1423,rust
Test_1424,scab
Test_1425,rust
Test_1426,healthy
Test_1427,rust
Test_1428,scab
Test_1429,scab
Test_1430,scab
Test_1431,scab
Test_1432,rust
Test_1433,healthy
Test_1434,rust
Test_1435,scab
Test_1436,healthy
Test_1437,rust
Test_1438,healthy
Test_1439,healthy
Test_1440,scab
Test_1441,rust
Test_1442,healthy
Test_1443,scab
Test_1444,rust
Test_1445,healthy
Test_1446,healthy
Test_1447,scab
Test_1448,scab
Test_1449,scab
Test_1450,healthy
Test_1451,scab
Test_1452,rust
Test_1453,rust
Test_1454,healthy
Test_1455,rust
Test_1456,healthy
Test_1457,healthy
Test_1458,healthy
Test_1459,rust
Test_1460,rust
Test_1461,healthy
Test_1462,scab
Test_1463,healthy
Test_1464,rust
Test_1465,rust
Test_1466,healthy
Test_1467,healthy
Test_1468,scab
Test_1469,healthy
Test_1470,scab
Test_1471,scab
Test_1472,scab
Test_1473,rust
Test_1474,rust
Test_1475,healthy
Test_1476,scab
Test_1477,scab
Test_1478,scab
Test_1479,scab
Test_1480,scab
Test_1481,scab
Test_1482,rust
Test_1483,scab
Test_1484,scab
Test_1485,healthy
Test_1486,scab
Test_1487,rust
Test_1488,scab
Test_1489,rust
Test_1490,rust
Test_1491,rust
Test_1492,scab
Test_1493,healthy
Test_1494,healthy
Test_1495,healthy
Test_1496,scab
Test_1497,rust
Test_1498,scab
Test_1499,healthy
Test_1500,healthy
Test_1501,rust
Test_1502,healthy
Test_1503,rust
Test_1504,healthy
Test_1505,rust
Test_1506,scab
Test_1507,scab
Test_1508,rust
Test_1509,scab
Test_1510,healthy
Test_1511,scab
Test_1512,scab
Test_1513,rust
Test_1514,rust
Test_1515,scab
Test_1516,healthy
Test_1517,healthy
Test_1518,healthy
Test_1519,scab
Test_1520,rust
Test_1521,scab
Test_1522,healthy
Test_1523,scab
Test_1524,healthy
Test_1525,healthy
Test_1526,scab
Test_1527,rust
Test_1528,scab
Test_1529,rust
Test_1530,healthy
Test_1531,healthy
Test_1532,healthy
Test_1533,scab
Test_1534,healthy
Test_1535,rust
Test_1536,scab
Test_1537,scab
Test_1538,rust
Test_1539,healthy
Test_1540,healthy
Test_1541,rust
Test_1542,rust
Test_1543,rust
Test_1544,healthy
Test_1545,rust
Test_1546,scab
Test_1547,healthy
Test_1548,rust
Test_1549,rust
Test_1550,scab
Test_1551,scab
Test_1552,rust
Test_1553,healthy
Test_1554,rust
Test_1555,scab
Test_1556,rust
Test_1557,scab
Test_1558,healthy
Test_1559,rust
Test_1560,scab
Test_1561,healthy
Test_1562,rust
Test_1563,scab
Test_1564,rust
Test_1565,rust
Test_1566,scab
Test_1567,rust
Test_1568,rust
Test_1569,healthy
Test_1570,rust
Test_1571,scab
Test_1572,healthy
Test_1573,rust
Test_1574,healthy
Test_1575,rust
Test_1576,healthy
Test_1577,rust
Test_1578,healthy
Test_1579,healthy
Test_1580,healthy
Test_1581,scab
Test_1582,healthy
Test_1583,healthy
Test_1584,scab
Test_1585,scab
Test_1586,scab
Test_1587,rust
Test_1588,healthy
Test_1589,scab
Test_1590,scab
Test_1591,scab
Test_1592,rust
Test_1593,scab
Test_1594,rust
Test_1595,healthy
Test_1596,rust
Test_1597,scab
Test_1598,rust
Test_1599,healthy
Test_1600,rust
Test_1601,scab
Test_1602,rust
Test_1603,rust
Test_1604,rust
Test_1605,scab
Test_1606,rust
Test_1607,healthy
Test_1608,rust
Test_1609,scab
